timestamp,log_type,message,stacktrace
318.8752,Log,rightTurn was pressed.,
319.2585,Log,forwardKey was pressed.,
320.7581,Log,forwardKey was pressed.,
321.3913,Log,forwardKey was pressed.,
321.56,Log,Object Picked Up!,
321.56,Log,End of trial 13,
321.56,Log,Start of ITI period of trial13,
322.641,Log,End of ITI period of trial13,
322.641,Log,Cue start of trial 14,
324.6738,Log,Cue end of trial 14,
324.6738,Log,Start of delay period of trial 14,
328.7061,Log,End of delay period of trial 14,
329.256,Log,rightTurn was pressed.,
331.8721,Log,rightTurn was pressed.,
332.8051,Log,forwardKey was pressed.,
340.0201,Log,forwardKey was pressed.,
340.3866,Log,Confirm button pressed: trial14,
341.7363,Log,leftTurn was pressed.,
351.8005,Log,leftTurn was pressed.,
352.567,Log,rightTurn was pressed.,
352.8836,Log,rightTurn was pressed.,
353.4168,Log,forwardKey was pressed.,
354.6165,Log,forwardKey was pressed.,
355.5496,Log,rightTurn was pressed.,
355.8162,Log,rightTurn was pressed.,
356.0828,Log,forwardKey was pressed.,
358.62,Log,Object Picked Up!,
358.62,Log,End of trial 14,
358.62,Log,Start of ITI period of trial14,
359.7152,Log,End of ITI period of trial14,
359.7152,Log,Cue start of trial 15,
361.7648,Log,Cue end of trial 15,
361.7648,Log,Start of delay period of trial 15,
365.7971,Log,End of delay period of trial 15,
374.2617,Log,rightTurn was pressed.,
381.7265,Log,rightTurn was pressed.,
382.1097,Log,leftTurn was pressed.,
383.9593,Log,leftTurn was pressed.,
384.5591,Log,leftTurn was pressed.,
390.4744,Log,leftTurn was pressed.,
391.5575,Log,leftTurn was pressed.,
392.5239,Log,leftTurn was pressed.,
392.8737,Log,forwardKey was pressed.,
397.7726,Log,forwardKey was pressed.,
398.0724,Log,rightTurn was pressed.,
398.9722,Log,rightTurn was pressed.,
399.4055,Log,Confirm button pressed: trial15,
401.455,Log,leftTurn was pressed.,
402.2048,Log,leftTurn was pressed.,
402.688,Log,forwardKey was pressed.,
403.6878,Log,forwardKey was pressed.,
404.071,Log,leftTurn was pressed.,
404.5042,Log,leftTurn was pressed.,
404.9874,Log,forwardKey was pressed.,
407.1369,Log,forwardKey was pressed.,
407.4035,Log,leftTurn was pressed.,
407.42,Log,Object Picked Up!,
407.42,Log,End of trial 15,
407.42,Log,Start of ITI period of trial15,
408.5199,Log,End of ITI period of trial15,
408.5199,Log,Cue start of trial 16,
410.5527,Log,Cue end of trial 16,
410.5527,Log,Start of delay period of trial 16,
414.5685,Log,End of delay period of trial 16,
415.3849,Log,leftTurn was pressed.,
416.6846,Log,leftTurn was pressed.,
417.4677,Log,leftTurn was pressed.,
419.5505,Log,leftTurn was pressed.,
420.0171,Log,leftTurn was pressed.,
422.1499,Log,leftTurn was pressed.,
423.2996,Log,rightTurn was pressed.,
424.0661,Log,rightTurn was pressed.,
425.6157,Log,rightTurn was pressed.,
426.1989,Log,rightTurn was pressed.,
426.5822,Log,forwardKey was pressed.,
428.6816,Log,forwardKey was pressed.,
428.9649,Log,rightTurn was pressed.,
429.5481,Log,rightTurn was pressed.,
429.8147,Log,forwardKey was pressed.,
430.9644,Log,forwardKey was pressed.,
431.4309,Log,Confirm button pressed: trial16,
432.514,Log,leftTurn was pressed.,
441.7784,Log,leftTurn was pressed.,
444.1112,Log,forwardKey was pressed.,
449.7098,Log,forwardKey was pressed.,
450.0264,Log,rightTurn was pressed.,
450.4096,Log,rightTurn was pressed.,
450.693,Log,forwardKey was pressed.,
451.86,Log,Object Picked Up!,
451.86,Log,End of trial 16,
451.86,Log,Start of ITI period of trial16,
452.909,Log,End of ITI period of trial16,
452.909,Log,Cue start of trial 17,
454.9419,Log,Cue end of trial 17,
454.9419,Log,Start of delay period of trial 17,
458.9742,Log,End of delay period of trial 17,
459.4408,Log,leftTurn was pressed.,
467.8054,Log,leftTurn was pressed.,
468.3052,Log,leftTurn was pressed.,
472.7708,Log,leftTurn was pressed.,
477.1531,Log,rightTurn was pressed.,
477.9362,Log,rightTurn was pressed.,
478.736,Log,forwardKey was pressed.,
479.5858,Log,forwardKey was pressed.,
479.9023,Log,Confirm button pressed: trial17,
482.635,Log,forwardKey was pressed.,
485.451,Log,forwardKey was pressed.,
485.7177,Log,leftTurn was pressed.,
486.5674,Log,leftTurn was pressed.,
487.0506,Log,forwardKey was pressed.,
491.7162,Log,forwardKey was pressed.,
492.0327,Log,leftTurn was pressed.,
492.2993,Log,leftTurn was pressed.,
492.666,Log,forwardKey was pressed.,
495.72,Log,Object Picked Up!,
495.72,Log,End of trial 17,
495.72,Log,Start of ITI period of trial17,
496.8149,Log,End of ITI period of trial17,
496.8149,Log,Cue start of trial 18,
498.8644,Log,Cue end of trial 18,
498.8644,Log,Start of delay period of trial 18,
502.8967,Log,End of delay period of trial 18,
503.5132,Log,rightTurn was pressed.,
505.0295,Log,rightTurn was pressed.,
507.2623,Log,rightTurn was pressed.,
507.6622,Log,rightTurn was pressed.,
508.9119,Log,rightTurn was pressed.,
509.3119,Log,rightTurn was pressed.,
510.0116,Log,forwardKey was pressed.,
519.7592,Log,forwardKey was pressed.,
520.1591,Log,Confirm button pressed: trial18,
521.2589,Log,leftTurn was pressed.,
528.5237,Log,leftTurn was pressed.,
529.5068,Log,forwardKey was pressed.,
536.52,Log,Object Picked Up!,
536.52,Log,End of trial 18,
536.52,Log,Start of ITI period of trial18,
537.5882,Log,End of ITI period of trial18,
537.5882,Log,Cue start of trial 19,
539.6377,Log,Cue end of trial 19,
539.6377,Log,Start of delay period of trial 19,
543.6534,Log,End of delay period of trial 19,
544.2532,Log,leftTurn was pressed.,
548.7521,Log,leftTurn was pressed.,
549.3353,Log,leftTurn was pressed.,
549.8352,Log,leftTurn was pressed.,
550.3184,Log,forwardKey was pressed.,
557.7499,Log,forwardKey was pressed.,
558.1831,Log,Confirm button pressed: trial19,
558.8663,Log,rightTurn was pressed.,
559.7661,Log,rightTurn was pressed.,
560.166,Log,forwardKey was pressed.,
567.3143,Log,forwardKey was pressed.,
567.6808,Log,rightTurn was pressed.,
568.0307,Log,rightTurn was pressed.,
