block_num,run,targets,start_x,start_z,object_x,object_z,cue,delay,ITI,trialType,speedForward,rotationSpeed,messageToDisplay,start_yRotation
1,1,13,30,-51.9615242270663,60,-1.46952762458685e-14,2,1.8,1,encoding,15,50,-1,93.1432047206908
1,1,6,60,-1.46952762458685e-14,30,-51.9615242270663,2,1,1.2,encoding,15,50,-1,323.775199921802
1,1,1,-30,-51.9615242270663,30,51.9615242270663,2,2,1.2,encoding,15,50,-1,27.7904410287738
1,1,6,-60,7.34763812293426e-15,30,-51.9615242270663,2,1.2,1,encoding,15,50,-1,315.804066248238
1,1,4,-30,51.9615242270663,-30,-51.9615242270663,2,1,1.4,encoding,15,50,-1,219.680081829429
1,1,13,30,51.9615242270663,60,-1.46952762458685e-14,2,1,2,encoding,15,50,-1,6.50363383814692
1,1,13,-60,7.34763812293426e-15,60,-1.46952762458685e-14,2,1,1.8,encoding,15,50,1,353.610201375559
2,1,6,-30,-51.9615242270663,30,-51.9615242270663,2,2,1.6,retrieval,15,50,-1,62.9550320282578
2,1,1,-30,-51.9615242270663,30,51.9615242270663,2,1,1,retrieval,15,50,-1,82.2102985717356
2,1,8,30,-51.9615242270663,-30,51.9615242270663,2,1.2,1.4,retrieval,15,50,-1,199.783911835402
2,1,11,-30,51.9615242270663,-60,7.34763812293426e-15,2,1.6,1,retrieval,15,50,-1,304.878374319524
2,1,13,-60,7.34763812293426e-15,60,-1.46952762458685e-14,2,1.2,1.6,retrieval,15,50,-1,199.207525653765
2,1,8,30,51.9615242270663,-30,51.9615242270663,2,1.8,2,retrieval,15,50,-1,82.918739290908
2,1,8,60,-1.46952762458685e-14,-30,51.9615242270663,2,1.4,1.2,retrieval,15,50,-1,52.6437915209681
2,1,1,-60,7.34763812293426e-15,30,51.9615242270663,2,1.6,1.2,retrieval,15,50,-1,178.305961545557
2,1,11,30,-51.9615242270663,-60,7.34763812293426e-15,2,1.4,1,retrieval,15,50,-1,252.182684568688
2,1,6,30,51.9615242270663,30,-51.9615242270663,2,1.2,1.6,retrieval,15,50,-1,186.762165008113
2,1,4,30,-51.9615242270663,-30,-51.9615242270663,2,1.2,1.6,retrieval,15,50,-1,272.01182900928
2,1,6,60,-1.46952762458685e-14,30,-51.9615242270663,2,1.6,1.2,retrieval,15,50,-1,72.9250917769969
2,1,6,-60,7.34763812293426e-15,30,-51.9615242270663,2,2,1.4,retrieval,15,50,-1,339.834970990196
2,1,4,-30,51.9615242270663,-30,-51.9615242270663,2,1,1.4,retrieval,15,50,-1,354.663925962523
2,1,11,60,-1.46952762458685e-14,-60,7.34763812293426e-15,2,1.2,1.8,retrieval,15,50,-1,44.891225611791
2,1,9,30,51.9615242270663,60,-1.46952762458685e-14,2,1,1.8,control,15,50,-1,92.7587648760527
2,1,9,-60,7.34763812293426e-15,60,-1.46952762458685e-14,2,1.8,2,control,15,50,-1,272.609940664843
2,1,9,-30,-51.9615242270663,60,-1.46952762458685e-14,2,1.4,1,control,15,50,-1,353.194401394576
2,1,9,-30,51.9615242270663,30,-51.9615242270663,2,1.2,1.6,control,15,50,-1,287.599813258275
2,1,9,30,-51.9615242270663,-30,51.9615242270663,2,1,1.6,control,15,50,-1,284.439186668023
2,1,9,30,-51.9615242270663,30,51.9615242270663,2,1,1.4,control,15,50,-1,327.579287365079
2,1,9,-30,51.9615242270663,30,51.9615242270663,2,1.8,1,control,15,50,-1,209.127800837159
2,1,9,-30,-51.9615242270663,-30,51.9615242270663,2,1.8,1.2,control,15,50,-1,76.7681824788451
2,1,9,60,-1.46952762458685e-14,-30,51.9615242270663,2,1.2,1.4,control,15,50,-1,291.649161726236
2,1,9,60,-1.46952762458685e-14,30,-51.9615242270663,2,1.6,1.2,control,15,50,-1,297.127343052998
2,1,9,-30,-51.9615242270663,30,-51.9615242270663,2,2,1.2,control,15,50,-1,20.0919363833964
2,1,9,-30,-51.9615242270663,30,51.9615242270663,2,1,1.8,control,15,50,-1,57.8831055387855
2,1,9,60,-1.46952762458685e-14,-60,7.34763812293426e-15,2,2,1.6,control,15,50,-1,46.3887783419341
2,1,9,-30,51.9615242270663,-30,-51.9615242270663,2,2,1.2,control,15,50,-1,284.466478647664
2,1,9,30,51.9615242270663,30,-51.9615242270663,2,1.4,1.4,control,15,50,0,245.646523749456
2,1,8,-30,-51.9615242270663,-30,51.9615242270663,2,1.2,1.2,retrieval,15,50,-1,111.445197919384
2,1,13,30,-51.9615242270663,60,-1.46952762458685e-14,2,2,2,retrieval,15,50,-1,101.929849041626
2,1,13,-30,-51.9615242270663,60,-1.46952762458685e-14,2,1,1,retrieval,15,50,-1,215.538544328883
2,1,6,-30,51.9615242270663,30,-51.9615242270663,2,1,1.2,retrieval,15,50,-1,272.712060492486
2,1,1,-30,51.9615242270663,30,51.9615242270663,2,2,1.6,retrieval,15,50,-1,144.86904499121
2,1,11,30,51.9615242270663,-60,7.34763812293426e-15,2,1.4,1.8,retrieval,15,50,-1,220.614972151816
2,1,1,60,-1.46952762458685e-14,30,51.9615242270663,2,1.2,1.6,retrieval,15,50,-1,359.45990620181
2,1,4,-60,7.34763812293426e-15,-30,-51.9615242270663,2,1.4,2,retrieval,15,50,-1,287.159237209707
2,1,13,30,51.9615242270663,60,-1.46952762458685e-14,2,2,1.2,retrieval,15,50,-1,1.52767041698098
2,1,11,-30,-51.9615242270663,-60,7.34763812293426e-15,2,2,1.8,retrieval,15,50,-1,18.0612334236503
2,1,8,-60,7.34763812293426e-15,-30,51.9615242270663,2,1.4,1.8,retrieval,15,50,-1,214.186528427526
2,1,4,30,51.9615242270663,-30,-51.9615242270663,2,1.4,1.4,retrieval,15,50,-1,113.31487538293
2,1,1,30,-51.9615242270663,30,51.9615242270663,2,1.4,1,retrieval,15,50,-1,332.32493092306
2,1,4,60,-1.46952762458685e-14,-30,-51.9615242270663,2,1.6,1,retrieval,15,50,-1,100.731190368533
2,1,13,-30,51.9615242270663,60,-1.46952762458685e-14,2,1.8,1.4,retrieval,15,50,-1,264.851110121235
2,1,9,-60,7.34763812293426e-15,30,-51.9615242270663,2,1.4,1.2,control,15,50,-1,353.10277428478
2,1,9,30,51.9615242270663,-60,7.34763812293426e-15,2,1,2,control,15,50,-1,300.5284414161
2,1,9,60,-1.46952762458685e-14,-30,-51.9615242270663,2,2,1.4,control,15,50,-1,246.279397420585
2,1,9,30,51.9615242270663,-30,-51.9615242270663,2,1.6,2,control,15,50,-1,119.349642153829
2,1,9,-60,7.34763812293426e-15,30,51.9615242270663,2,1.8,1.8,control,15,50,-1,292.415143372491
