targets,targetNames,trial_num,block_num,start_x,start_z,object_x,object_z,quadrant,cue,delay,ITI,trialType,speedForward,rotationSpeed,messageToDisplay,start_yRotation
26,harmonica,87,6,0,0,-61.25,45.4663336324554,1,1,0.2,1.5,retrieval,20,60,-1,326.811721874401
19,cutter_knife,88,6,0,0,-8.75,-45.4663337649107,3,1,0.2,1.5,retrieval,20,60,-1,182.81832667999
23,elephant,89,6,0,0,61.25,15.1554445,2,1,0.2,1.5,retrieval,20,60,-1,219.644598718733
28,insulating_tape,90,6,0,0,43.75,45.4663336324554,2,1,0.2,1.5,retrieval,20,60,-1,115.756786298007
15,apple,91,6,0,0,-43.75,15.1554445,1,1,0.2,1.5,retrieval,20,60,-1,319.433356644586
21,dog,92,6,0,0,26.25,-45.4663337649107,4,1,0.2,1.5,retrieval,20,60,-1,185.61671834439
20,deer,93,6,0,0,43.75,-15.1554446324554,4,1,0.2,1.5,retrieval,20,60,-1,268.737611286342
18,clarinet,94,6,0,0,-43.75,-45.4663337649107,3,1,0.2,1.5,retrieval,20,60,-1,323.420595377684
22,drill,95,6,0,0,26.25,15.1554445,2,1,0.2,1.5,retrieval,20,60,-1,57.840980021283
17,chimpanzee,96,6,0,0,-26.25,-15.1554446324554,3,1,0.2,1.5,retrieval,20,60,-1,355.957349510863
22,drill,97,7,0,0,26.25,15.1554445,2,1,0.2,1.5,retrieval,20,60,-1,135.940608205274
31,lemon,98,7,0,0,-26.25,45.4663336324554,1,1,0.2,1.5,retrieval,20,60,-1,131.755759902298
18,clarinet,99,7,0,0,-43.75,-45.4663337649107,3,1,0.2,1.5,retrieval,20,60,-1,64.2907401826233
32,measurement_tape,100,7,0,0,-8.75,15.1554445,1,1,0.2,1.5,retrieval,20,60,-1,66.7557660397142
24,guitar,101,7,0,0,8.75,45.4663336324554,2,1,0.2,1.5,retrieval,20,60,-1,119.845689889044
15,apple,102,7,0,0,-43.75,15.1554445,1,1,0.2,1.5,retrieval,20,60,-1,343.449961524457
26,harmonica,103,7,0,0,-61.25,45.4663336324554,1,1,0.2,1.5,retrieval,20,60,-1,216.7303502094
19,cutter_knife,104,7,0,0,-8.75,-45.4663337649107,3,1,0.2,1.5,retrieval,20,60,-1,164.120366256684
30,keyboard,105,7,0,0,61.25,-45.4663337649107,4,1,0.2,1.5,retrieval,20,60,-1,35.1256597414613
20,deer,106,7,0,0,43.75,-15.1554446324554,4,1,0.2,1.5,retrieval,20,60,-1,297.093585440889
17,chimpanzee,107,7,0,0,-26.25,-15.1554446324554,3,1,0.2,1.5,retrieval,20,60,-1,63.8619638420641
28,insulating_tape,108,7,0,0,43.75,45.4663336324554,2,1,0.2,1.5,retrieval,20,60,-1,191.361390547827
33,orange,109,7,0,0,8.75,-15.1554446324554,4,1,0.2,1.5,retrieval,20,60,-1,202.095060450956
21,dog,110,7,0,0,26.25,-45.4663337649107,4,1,0.2,1.5,retrieval,20,60,-1,280.794457476586
16,banana,111,7,0,0,-61.25,-15.1554446324554,3,1,0.2,1.5,retrieval,20,60,-1,96.9661813694984
23,elephant,112,7,0,0,61.25,15.1554445,2,1,0.2,1.5,retrieval,20,60,-1,258.086049165577
