trial_num,block_num,targets,targetNames,start_x,start_z,object_x,object_z,cue,delay,ITI,trialType,speedForward,rotationSpeed,messageToDisplay,start_yRotation
58,3,6,Donut,8.78775925375521,65.9612314542755,43.5127303609625,7.77553781634197,2,1.5,1.5,retrieval,15,50,-1,196.683113258332
59,3,4,Traffic cone,-22.866150259506,63.756936066784,-51.4900343446061,38.327445529867,2,1.5,1.5,retrieval,15,50,-1,122.290157619864
60,3,8,Football,-58.3180806599557,40.4075180296786,-15.3360125888139,-39.591026972048,2,1.5,1.5,retrieval,15,50,-1,148.393008979037
61,3,4,Traffic cone,18.8672553165816,55.526981537696,-51.4900343446061,38.327445529867,2,1.5,1.5,retrieval,15,50,-1,342.477607363835
62,3,8,Football,-22.6281558629125,-20.5384256551042,-15.3360125888139,-39.591026972048,2,1.5,1.5,retrieval,15,50,-1,77.0760064478964
63,3,13,Vase,43.2991371257231,16.345165099483,-23.550670533441,31.8639129656367,2,1.5,1.5,retrieval,15,50,-1,263.711488461122
64,3,1,Barrel,49.8750259517692,-20.1693796785548,14.7013847739436,-36.1259522265755,2,1.5,1.5,retrieval,15,50,-1,33.2968446426094
65,3,11,Pawn,-57.0903201587498,0.930335896555334,-14.2223813710734,0.0355066452175379,2,1.5,1.5,retrieval,15,50,-1,310.923923570663
66,3,6,Donut,-32.7361583942547,-8.91377771040425,43.5127303609625,7.77553781634197,2,1.5,1.5,retrieval,15,50,-1,25.5511305201799
67,3,11,Pawn,-35.7947081909515,36.5885543636978,-14.2223813710734,0.0355066452175379,2,1.5,1.5,retrieval,15,50,-1,93.3768579829484
68,3,6,Donut,16.6827849112451,-55.6222614250146,43.5127303609625,7.77553781634197,2,1.5,1.5,retrieval,15,50,-1,275.854886183515
69,3,11,Pawn,22.3453039652668,-3.43902404420078,-14.2223813710734,0.0355066452175379,2,1.5,1.5,retrieval,15,50,-1,346.572757903486
70,3,4,Traffic cone,-12.9032562836073,12.5554650672711,-51.4900343446061,38.327445529867,2,1.5,1.5,retrieval,15,50,-1,185.072734253481
71,3,13,Vase,-59.5212369575165,39.0376087627374,-23.550670533441,31.8639129656367,2,1.5,1.5,retrieval,15,50,-1,309.098854595795
72,3,1,Barrel,44.8459705570713,15.772543719504,14.7013847739436,-36.1259522265755,2,1.5,1.5,retrieval,15,50,-1,63.04583536461
